# Inventario Champanillo → cat|proveedor|producto|unidad_hoja|precio
# cat: P C L Z FV BA BNA PAN PK CF
BNA|DDI PROVEA S.L.|CACAOLAT ORIGINAL C/24|CAJA|27.38
BNA|DISTERRI|NESTEA LIMÓN 1/3 LATA C/24|CAJA|10.57
BNA|DDI PROVEA S.L.|FREE DAMM 1/3 LATA|CAJA|12.88
BNA|DDI PROVEA S.L.|FREE DAMM TOSTADA 1/3 LATA|CAJA|12.88
BNA|DISTERRI|NESTEA MARACUYÁ 1/3 LATA C/24|CAJA|10.57
BNA|COCACOLA|FANTA LIMÓN 2L. C/6|CAJA|7.69
BNA|COCACOLA|COCACOLA LATA C/24|CAJA|14.41
BNA|COCACOLA|COCACOLA ZERO LATA C/24|CAJA|13.22
BNA|COCACOLA|FANTA NARANJA LATA C/24|CAJA|13.15
BNA|COCACOLA|SPRITE LATA C/24|CAJA|13.14
BNA|COCACOLA|AQUARIUS LATA C/24|CAJA|14.44
BNA|COCACOLA|COCACOLA ZERO ZERO C/24|CAJA|13.22
BNA|COCACOLA|FANTA LIMÓN C/24|CAJA|13.15
BNA|COCACOLA|AQUARIUS NARANJA C/24|CAJA|14.44
BNA|COCACOLA|FANTA NARANJA 2L. C/6|CAJA|7.69
BNA|SERHS, S.L.|TRINA TAR. SLEEK 33cl C/24|CAJA|12.28
BNA|SERHS, S.L.|VICHY CATALAN SLEEK 33cl C/24|CAJA|17.54
PAN|ASSOLIM|PAN BRIOCHE BURGER BEACH PRE CORTADA C/80|CAJA 80ud|47.52
PAN|LA FLECA DEL GOURMET|PAN BURGER RUSTICA CHAMPA C/40 (0,38€/ud)|CAJA 40ud|15.20
PAN|LA FLECA DEL GOURMET|PAN FRANKFURT CHAMPA C/40 (0,2872€/ud)|CAJA 40ud|11.48
PAN|LA FLECA DEL GOURMET|PAN EXTREME C/16 (1,89€ -25% = 1,4175€/ud)|CAJA 16ud|22.68
PAN|LA FLECA DEL GOURMET|TULIPA RED VELL (16UD) 1,24€/UD|CAJA 16ud|19.99
PAN|LA FLECA DEL GOURMET|TULIPA CHOCOLATE (16UD) 1,37€/UD|CAJA 16ud|21.92
PAN|LA FLECA DEL GOURMET|REDONDO RÚSTICO SIN GLUTEN C/20 (2,2638-43%= 1,29€/ud)|CAJA 20ud|25.80
PAN|LA FLECA DEL GOURMET|BAGUETINA SIN GLUTEN C/18|CAJA 18ud|17.63
PAN|LA FLECA DEL GOURMET|FRISANDWICH 8*20|CAJA|14.49
PAN|SERHS, S.L.|PICATOSTE TORRATS 500g C/12|UNIDAD|2.31
PAN|ASSOLIM|NACHOS 12*450GR|CAJA|25.44
PAN|ASSOLIM|BURGUER BRIOCHE SENSE GLUTEN 20*80GR|CAJA 20ud|31.78
PAN|ANMA|CAJA PATATAS A.TORRES 50gr C/25|CAJA|16.50
PK|DISPRONET|BARQUETA CONICA HOT DOG ECOGAMA|CAJA 500 UNID|26.77
PK|DISPRONET|BARQUETA CONICA PATATAS 400 ML|CAJA 1000 UNID|42.70
PK|DISPRONET|FORMATO ANTIGRASA CHAMPANILLO BURGER 18X17,5|CAJA 10.000 UNID|156.20
PK|DISPRONET|DISCO CARTON LISO 24 CM METALIZADO|PAQUETE X100|22.03
PK|DISPRONET|BOLSA PLASTICO CAMISETA 40X50 RECICLADA|PAQUETE X 100|4.34
PK|DISPRONET|IMPRESIÓN BOLSA CHAMPANILLO 32X18X40 250 UNID|CAJA 250 UNID|53.48
PK|DISPRONET|BOLSA DE VACIO 30X40|PAQUETE X100|17.92
PK|DISPRONET|BOLSA KRAFT VERJURADO 15X6X27|CAJA 500 UNID|36.60
PK|DISPRONET|BOLSA DE VACIO 20X30|PAQUETE X100|14.88
PK|DISPRONET|CAÑAS RECTA NEGRA ENFUNDADAS|PACK 500 UNID|16.39
PK|DISPRONET|CUCHILLO COLOR ECO 16,5 CM|PAQUETE 100 UNID|3.45
PK|DISPRONET|BOL PULPA Y TAPA PET 170X61 750 CC|CAJA 300 UNID|124.32
PK|DISPRONET|IMPRESIÓN ESTUCHE CONICO BURGER 120X120 BURGER|CAJA X 450 UNID|87.57
PK|DISPRONET|ESTUCHE ESTANCO 90X110X65 COMIDA PREPARADA|CAJA 300 UNID|36.54
PK|DISPRONET|ESTUCHE TAKE AWAI PEQUEÑA ECOGAMA|CAJA 500 UNID|37.10
PK|DISPRONET|IMPRESIÓN BOLSA CHAMPANILLO 26X14X32|CAJA 250 UNID|43.23
PK|DISPRONET|COPA CHAMPAGNE KOSHUI 17 CL|CAJA 6 UNID|9.85
PK|DISPRONET|PALILLOS CARACOL REDDONDOS LARGOS 15X2,5MM|PAQUETE 2000 UNID|9.20
PK|DISPRONET|PAPEL HORNO 60X40 BIOSILICONADO ANTIHADERENTE|CAJA 500 UNID|29.02
PK|DISPRONET|ROLLO ALUMINIO INDUSTRIAL 30 CM USO ALIMENTARIO|ROLLO|13.90
PK|DISPRONET|ROLLO FILM INDUSTRIAL 300 METROS USO ALIMENTARIO|ROLLO|8.33
PK|DISPRONET|SERVILLETA 20X20 SUAVE 2C NATURCEL|CAJA 6000 UNID|38.32
PK|DISPRONET|SERVILLETA 40X40 PUNTA CANGURO BIO ECO|CAJA 1200 UNID|39.38
PK|DISPRONET|SERVILLETA SUAVE TSUE BLANCA CARICIAS|CAJA 7200 UNID|34.29
PK|DISPRONET|SERVILLETA 17X17 MINI SERVIS ECO NATURAL|CAJA 12.000 UNID|29.33
PK|DISPRONET|IMPRESIÓN BOLSA CORTE LATERAL 17X17 CHAMPANILLO|CAJA 1000 UNID|17.08
PK|DISPRONET|BOLSA VACIO 25X35|PAQUETE X 200|25.92
PK|DISPRONET|BOTELLA BIBERON EXP BOCA ANCHA 475 MM|CAJA X12|26.16
PK|DISPRONET|TAPA TERRINA TRANSPARENTE 60 CC|PAQUETE X 100|2.95
PK|DISPRONET|TAPA TERRINA 70 /100/125 CC PP TRANSPARENTE|PAQUETE 100 UNID|3.05
PK|DISPRONET|TENEDOR ECO COLOR REUTILIZABLE|PAQUETE X100|3.86
PK|DISPRONET|TENEDOR MADERA 16 CM|CAJA 1000 UNID|43.74
PK|DISPRONET|TARRINA PLASTICO NEGRO 60 CC|PAQUETE 100 UNID|2.75
PK|DISPRONET|TARRINA PLASTICO 70 CC PP TRANSPARENTE|PAQUETE 100 UNID|5.05
PK|DISPRONET|VASO CARTON LLEVAR 230 ML|CAJA X 500|35.00
PK|DISPRONET|ABRILLANTADOR LIQUIDO AUTOMATICAS KADES|GARRAFA 1O LT|23.89
PK|DISPRONET|AMBIENTADOR AMAZONA APPLE AZUL|BOTE 1 LT|7.70
PK|DISPRONET|BAYETA MICROFIBRA 38X40|PAQUETE 12 UNID|9.67
PK|DISPRONET|PALILLOS ENFUNDADOS MAXIMA HIGIENE|CAJA 1000 UNID|6.14
PK|DISPRONET|BOLSA BASURA INDUSTRIAL NEGRA 85X105|CAJA 20 ROLLOS|34.95
PK|DISPRONET|GEL DE MANOS Y DUCHA PERFUMADO DERMO D|GARRAFA 5 LT|8.73
PK|DISPRONET|DESENGRASANTE DECOLIMP|GARRAFA 5 LT|17.13
PK|DISPRONET|DESENGRASANTE ENERGETICO EFICAZ KENEK PLUS|GARRAFA 5 LT|22.53
PK|DISPRONET|DESINFECTANTE BASE ALCOHOL DESINBAC|BOTE 1 LT|4.67
